dynamic_accuracy steamvr; 20211013-223229; x y z w i j k;  frequency = 150
3.922875225543975830e-01 -5.522897839546203613e-01 -1.649601578712463379e+00 9.996315158003405976e-01 -1.626991881577998303e-02 -2.113532026785150050e-02 -5.041404549478405682e-03 3.805005252361297607e-01 -5.404971837997436523e-01 -1.398327589035034180e+00 1.791691144140250547e-02 -1.147236855793535952e-02 9.994188537362891367e-01 -2.115737591278750787e-02
3.920769691467285156e-01 -5.523770451545715332e-01 -1.652002573013305664e+00 9.996393566696254451e-01 -1.575997924443521547e-02 -2.112853971292630653e-02 -5.134233198416386819e-03 3.805939853191375732e-01 -5.406271815299987793e-01 -1.400316119194030762e+00 1.793436824561159965e-02 -1.141700968556631779e-02 9.994054451409465356e-01 -2.113078406858510602e-02
3.917659819126129150e-01 -5.522207617759704590e-01 -1.653276085853576660e+00 9.996384995433725829e-01 -1.585549156966473833e-02 -2.107904199710984583e-02 -5.209244797820247394e-03 3.804225623607635498e-01 -5.406993031501770020e-01 -1.402284145355224609e+00 1.792065361670172607e-02 -1.135143109363890776e-02 9.994016106049975479e-01 -2.093060749619124819e-02
3.911415934562683105e-01 -5.521401762962341309e-01 -1.655128002166748047e+00 9.996407578831342233e-01 -1.578525164815201831e-02 -2.101586434842039539e-02 -5.244952070150517981e-03 3.801473379135131836e-01 -5.407783985137939453e-01 -1.403659820556640625e+00 1.781097472503464021e-02 -1.132119859050441206e-02 9.993936282729468656e-01 -2.078385409496888436e-02
3.915829956531524658e-01 -5.521775484085083008e-01 -1.657187342643737793e+00 9.996469440682335117e-01 -1.556827993464242679e-02 -2.085164624244036785e-02 -5.368196903451969912e-03 3.801347017288208008e-01 -5.408165454864501953e-01 -1.405055761337280273e+00 1.768924769201921099e-02 -1.126032147403033604e-02 9.994200134429453986e-01 -2.058855342243482225e-02
3.915392160415649414e-01 -5.521526932716369629e-01 -1.658710837364196777e+00 9.996483601775100203e-01 -1.543308382424699726e-02 -2.083549729243078241e-02 -5.554236578978715387e-03 3.797784745693206787e-01 -5.410222411155700684e-01 -1.407042384147644043e+00 1.761157773312598332e-02 -1.103119129793201855e-02 9.994212886172476606e-01 -2.026944318005321696e-02
3.915054798126220703e-01 -5.520422458648681641e-01 -1.660275220870971680e+00 9.996501862101948577e-01 -1.529011793114153431e-02 -2.080688557399460598e-02 -5.727532847668881724e-03 3.795484006404876709e-01 -5.412316918373107910e-01 -1.408776283264160156e+00 1.741118098601116340e-02 -1.096249043691647010e-02 9.994103683792561199e-01 -2.020217772180578353e-02
3.916974961757659912e-01 -5.520510077476501465e-01 -1.661922216415405273e+00 9.996527873693614730e-01 -1.500017458194599813e-02 -2.084300818109379588e-02 -5.904029236020765306e-03 3.799624145030975342e-01 -5.414592027664184570e-01 -1.410125136375427246e+00 1.733355454462674056e-02 -1.068163212843442796e-02 9.994337197690863484e-01 -1.988976060349040287e-02
3.920476138591766357e-01 -5.522273778915405273e-01 -1.663331508636474609e+00 9.996569685881070422e-01 -1.497662886920000415e-02 -2.061630277385642987e-02 -6.051181642928409390e-03 3.804544806480407715e-01 -5.416561365127563477e-01 -1.412021994590759277e+00 1.722662547266515937e-02 -1.049070351013301275e-02 9.994444890993948727e-01 -1.953562798529631661e-02
3.923669457435607910e-01 -5.522047281265258789e-01 -1.664566993713378906e+00 9.996659719373696129e-01 -1.462353428393788415e-02 -2.041161882615858195e-02 -6.121716335580044792e-03 3.809908926486968994e-01 -5.416076183319091797e-01 -1.413644433021545410e+00 1.706977756107258201e-02 -1.030278793899311318e-02 9.994661824207912160e-01 -1.932344933803140444e-02
3.923355340957641602e-01 -5.522692203521728516e-01 -1.665938019752502441e+00 9.996717331439799459e-01 -1.442477046923917525e-02 -2.024957579187652845e-02 -6.187879774555974342e-03 3.812123239040374756e-01 -5.416198968887329102e-01 -1.415058016777038574e+00 1.694140684107136793e-02 -1.017536596640162237e-02 9.994511434821501394e-01 -1.905987980694458933e-02
3.927649855613708496e-01 -5.521325469017028809e-01 -1.667890071868896484e+00 9.996705033937390850e-01 -1.443994256591848296e-02 -2.026526232625893917e-02 -6.299905591278230979e-03 3.808830082416534424e-01 -5.416119694709777832e-01 -1.416851162910461426e+00 1.700724668880230009e-02 -1.012140800557035508e-02 9.994791152388368127e-01 -1.876477973217046541e-02
3.924256265163421631e-01 -5.521223545074462891e-01 -1.669984102249145508e+00 9.996765925058899160e-01 -1.382750103698155396e-02 -2.037361810378515367e-02 -6.358179652135515121e-03 3.808842301368713379e-01 -5.416259169578552246e-01 -1.418486595153808594e+00 1.706497562879492544e-02 -1.002675376869185432e-02 9.994752573380693006e-01 -1.845800479181042286e-02
